,depth,num,rpc_type,percentage
45198,5,40,mq,0.02360094558348865
45199,7,5326,mq,0.1297408937288772
45200,9,92,mq,0.04301374953548865
45201,1,72,rpc,0.14124082444155506
45202,5,40,rpc,0.12685025230713273
45203,6,419,rpc,0.11217183770883056
45204,7,593,rpc,0.9769533445756045
45205,1,72,memcached,0.805107526881721
45206,3,1017,memcached,0.995575221238938
45207,6,419,memcached,0.4181384248210024
45208,1,72,db,0.0423907360397361
45209,3,1017,db,0.0019174041297935094
45210,7,5326,db,0.2750657153586181
45211,9,92,db,0.2517651430694909
45212,6,419,mq,0.4677804295942721
45213,23,83,mq,0.03614457831325301
45214,3,1017,rpc,0.0020157325467059974
45215,9,92,rpc,0.5172798216276474
45216,1,8513,memcached,0.28685539762715845
45217,5,40,memcached,0.7371732508978498
45218,9,92,memcached,0.1879412857673728
45219,23,83,memcached,0.03614457831325301
45220,1,8513,db,0.04240573240925643
45221,5,40,db,0.10581897531481577
45222,4,435,mq,0.006732348111658457
45223,12,356,mq,0.04213483146067416
45224,21,42,mq,0.0005816658911121451
45225,10,132,rpc,0.12272727272727273
45226,21,42,rpc,0.6867535287730767
45227,4,435,memcached,0.5482758620689655
45228,6,2060,memcached,0.9985436893203884
45229,21,42,memcached,0.027028075073677632
45230,4,810,db,0.8703703703703703
45231,5,424,db,0.4716981132075472
45232,19,130,db,0.4846153846153846
45233,1,311,mq,0.0035469221334570892
45234,4,810,rpc,0.12962962962962962
45235,5,424,rpc,0.06367924528301888
45236,6,2060,rpc,0.0014563106796116505
45237,19,130,rpc,0.030769230769230767
45238,5,424,memcached,0.4646226415094339
45239,10,132,memcached,0.6170454545454547
45240,4,435,db,0.1
45241,10,132,db,0.20492424242424245
45242,21,42,db,0.28563673026213804
45243,1,311,http,0.002287267544005039
45244,6,4604,mq,0.2497827975673328
45245,10,132,mq,0.0553030303030303
45246,1,311,rpc,0.05496071866609209
45247,4,435,rpc,0.344991789819376
45248,12,356,rpc,0.5898876404494382
45249,1,311,memcached,0.832863725262704
45250,6,4604,memcached,0.00021720243266724586
45251,12,356,memcached,0.3202247191011236
45252,19,130,memcached,0.4846153846153846
45253,1,311,db,0.10634136639374152
45254,6,4604,db,0.75
45255,12,356,db,0.04775280898876405
45256,4,20,http,0.044225269996390905
45257,20,4,http,2.2942725779364395e-06
45258,5,97,mq,0.038887204366282575
45259,5,9894,mq,0.3759854457246816
45260,6,98,mq,0.0628188775510204
45261,8,295,mq,0.001694915254237288
45262,1,516,rpc,0.04223469660518578
45263,3,727,rpc,0.005804676753782668
45264,19,54,rpc,0.6136239287496766
45265,1,516,memcached,0.9575648222400424
45266,4,20,memcached,0.4519276202110268
45267,6,98,memcached,0.5966198979591834
45268,8,700,memcached,0.0014285714285714286
45269,20,4,memcached,0.23022107610561
45270,3,727,db,0.0029986244841815647
45271,6,756,db,0.17989417989417988
