success,inflection,accy,a1,b1,a2,b2,tag,cpuInter,memInter
True,13.333333333333334,0.8304341308158139,396.7499989414423,1113.7499981079345,13264.898678023132,-162791.74987283596,ComposeReview_compose-review-service,0.4,800.0
True,21.333333333333332,0.6386235422050202,6925.320813643462,-39066.92534242437,9060.29871297844,-85744.19869709418,ComposeReview_compose-review-service,0.4,3200.0
True,20.0,0.5419582058269934,6745.614819579462,-40994.941367702035,6405.210598117172,-34434.63550881802,ComposeReview_compose-review-service,0.4,1600.0
True,12.0,0.891995887701073,81.99793467541417,18200.88948160101,10847.21559308312,-112036.90667034908,ComposeReview_compose-review-service,1.6,3200.0
True,22.666666666666668,0.8092957479860994,6118.544034252083,-36944.01351961539,16352.85750026143,-266333.3310795454,ComposeReview_compose-review-service,0.8,800.0
True,13.333333333333334,0.8920244921901888,1136.3076931363964,8985.243449849115,12134.428097447635,-135030.0000058066,ComposeReview_compose-review-service,1.6,2400.0
True,9.333333333333334,0.8241729411599116,1219.2107257917626,8333.996359569375,7471.214657845791,-44869.07951279177,ComposeReview_compose-review-service,1.6,1600.0
True,21.333333333333332,0.7454088983687628,5277.378970823804,-19259.985970556714,14627.343864175324,-215838.8484457176,ComposeReview_compose-review-service,1.6,800.0
True,20.0,0.6134230038359295,5747.245896790822,-29320.213802018847,10808.623045858541,-126578.3085315901,ComposeReview_compose-review-service,1.2000000000000002,3200.0
True,9.333333333333334,0.8391013724899639,1328.4749936621874,-2221.6999610289904,8989.968429266472,-72066.39775211866,ComposeReview_compose-review-service,0.8,1600.0
True,12.0,0.7894755322320142,501.4093250232005,1593.6847248375957,14515.877052328693,-168213.92920754163,ComposeReview_compose-review-service,0.4,2400.0
True,18.666666666666668,0.5257252666627918,8194.967328222605,-43311.74061044874,9856.483440898566,-83197.49960610818,ComposeReview_compose-review-service,1.2000000000000002,2400.0
True,12.0,0.8551951269460106,813.6749947691715,3173.300041276796,11116.762909308669,-117304.5130670706,ComposeReview_compose-review-service,0.8,2400.0
True,17.333333333333332,0.6746943616990656,4160.008871318159,-21114.582318869645,14186.729815721821,-197727.1200538837,ComposeReview_compose-review-service,0.8,3200.0
True,12.0,0.8796921806510573,620.891951172137,6753.8813366428,10175.684468726466,-100709.99600559058,ComposeReview_compose-review-service,1.2000000000000002,1600.0
True,14.666666666666666,0.806544893309431,1820.1634458435233,589.4374540796771,10645.072678506194,-125432.64339007641,ComposeReview_compose-review-service,1.2000000000000002,800.0
True,28.0,0.8891640449119943,376.6505844302294,77.0645123666211,2043.714008110369,-46786.67279094424,ComposeReview_movie-id-service,1.2000000000000002,2400.0
True,20.0,0.8027941118141316,308.2089006319535,242.6423227726072,1491.0356157772994,-23249.686313856222,ComposeReview_movie-id-service,1.2000000000000002,1600.0
True,24.0,0.8134803486228259,461.78476195328255,-1444.038384939235,1951.852764024978,-37121.217509738504,ComposeReview_movie-id-service,1.2000000000000002,800.0
True,24.0,0.8659567708938545,247.00274039724005,-0.03664956633338079,2205.2660904961153,-48500.25128562969,ComposeReview_movie-id-service,0.8,3200.0
True,26.0,0.810937861529124,320.3869879644729,-1804.0822120003534,2534.7749474852776,-59818.17818153299,ComposeReview_movie-id-service,0.8,1600.0
True,20.0,0.6899007450832346,110.15127123508005,812.4703382920529,2237.4178209152424,-40199.57650228419,ComposeReview_movie-id-service,0.4,800.0
True,22.0,0.743652786864613,382.79427533323474,-1784.7202521266386,2130.6659867365993,-40677.0956288475,ComposeReview_movie-id-service,0.8,800.0
True,26.0,0.20375705682490097,1182.1294900534676,-12114.379000891131,2414.951679623888,-38850.477334824114,ComposeReview_movie-id-service,0.4,1600.0
True,20.0,0.8075697412501877,161.93643640479826,-141.51689179295556,2580.777171470902,-47229.700931939944,ComposeReview_movie-id-service,0.4,3200.0
True,16.0,0.6145617963329831,443.37499999999994,285.0000000000005,1268.714805611988,-13588.209610520891,ComposeReview_movie-id-service,1.2000000000000002,3200.0
True,14.0,0.781812760835269,37.41249999999983,1333.7000000000014,2001.8179445195149,-25500.04675972206,ComposeReview_movie-id-service,0.4,2400.0
True,30.0,0.8650247245487144,171.17083690870842,5793.308264948369,1755.145835292018,-39780.56318393856,ComposeReview_movie-id-service,1.6,800.0
True,32.0,0.8170344361384191,225.99792340064835,5320.669763216078,3566.141363788885,-102139.96808363419,ComposeReview_movie-id-service,1.6,3200.0
True,22.0,0.893540268948348,59.912178357593646,6991.774761352282,1503.05086718788,-24630.350682631877,ComposeReview_movie-id-service,1.6,1600.0
True,26.0,0.8705934830931212,580.8793109590792,502.609896449785,1454.3101804126557,-22439.259052847356,ComposeReview_movie-id-service,1.6,2400.0
True,60.0,0.726944884779506,0.47595640569280595,24.668772242044536,1.3335129310352114,-27.215086206958212,ComposeReview_movie-review-service,1.2000000000000002,1600.0
True,32.0,0.7809957088004311,47.485714371417096,106.51428422877036,1218.181795280851,-38435.55842546584,ComposeReview_rating-service,0.8,1600.0
True,64.0,0.7843486372458728,0.507962633450886,27.494661921765797,1.3986111111119655,-29.658333333399124,ComposeReview_movie-review-service,1.2000000000000002,2400.0
True,60.0,0.782449035511223,0.35816281138650075,34.18754448405815,2.5695766607388872,-100.78813760401793,ComposeReview_user-review-service,0.4,3200.0
True,40.0,0.795385024076805,0.15673076922893048,32.75846153853079,0.9153400649951698,1.4514020427120875,ComposeReview_user-review-service,1.2000000000000002,3200.0
True,28.0,0.9037584821040336,8.109375000015518,743.0625000016183,1580.3566373220967,-40454.34143719454,ComposeReview_rating-service,0.4,3200.0
True,60.0,0.8350288880424421,0.024977758004990913,38.1896797153836,1.0432692307693203,-24.702115384671043,ComposeReview_user-review-service,1.2000000000000002,2400.0
True,56.0,0.728439311002929,0.5030104712031036,27.438154450319406,1.616449922361591,-37.31372670815802,ComposeReview_movie-review-service,1.2000000000000002,3200.0
True,28.0,0.8005185237771236,0.9455357189653183,21.960714204601143,0.46701272203436306,32.349672947739954,ComposeReview_movie-review-service,1.6,800.0
True,64.0,0.9038176293839041,0.14407250889492895,32.7246441281831,1.362962962963756,-43.44713804723518,ComposeReview_user-review-service,1.2000000000000002,1600.0
True,48.0,0.8346568670778709,0.08453608247222799,38.81494845369076,1.465948660715301,-29.64508928578111,ComposeReview_movie-review-service,1.6,1600.0
True,60.0,0.7275256996689596,0.025506005335953374,39.33478647695191,1.791801035504684,-65.9543934912702,ComposeReview_movie-review-service,1.6,3200.0
True,68.0,0.8175916106893893,0.31549295964008084,32.620070349820885,2.2360281808062576,-102.23585379486741,ComposeReview_user-review-service,1.2000000000000002,800.0
True,52.0,0.809186862586376,0.3140569395002788,28.849110320345535,1.1738079202589984,-15.156734913828277,ComposeReview_user-review-service,0.8,3200.0
True,68.0,0.8360100919194351,0.2654192586816513,30.83689735620821,2.691145833337025,-138.96375000030577,ComposeReview_user-review-service,0.8,2400.0
True,40.0,0.8258036928789858,0.5876552795022032,27.47950310564787,1.2403166761065807,0.26020763844401174,ComposeReview_movie-review-service,0.4,800.0
True,72.0,0.802753417869102,0.27765276630726043,35.545540875384994,2.6604422785005695,-136.69173160132502,ComposeReview_movie-review-service,1.2000000000000002,800.0
True,72.0,0.7794562645848224,0.13484612724569212,35.934716459274,2.3085338345892987,-118.94800751905724,ComposeReview_movie-review-service,0.8,3200.0
True,32.0,0.6764044099947644,1.2321428571433635,16.642857142891266,1.0176283916521616,25.410968332244437,ComposeReview_user-review-service,1.6,800.0
True,36.0,0.9861918628013884,0.5463983050837529,27.03813559327719,7.2857142857142865,-211.2857142857143,ComposeReview_user-review-service,0.8,800.0
True,56.0,0.8249539217680016,0.2848494742441076,32.91871734994444,2.153463911346796,-72.04911996447785,ComposeReview_movie-review-service,0.4,1600.0
True,36.0,0.6140630409827509,1832.402064804707,-28730.41050670943,2023.793743267082,-32379.859917558537,ComposeReview_movie-id-service,0.8,2400.0
True,36.0,0.7159659833327651,0.33220338983050773,32.12372881355933,1.0361886234108633,4.405598421752233,ComposeReview_user-review-service,0.4,2400.0
True,48.0,0.852590205069891,0.15593398876220443,38.223314606822704,3.681103351961145,-126.9056703913399,ComposeReview_user-review-service,0.4,1600.0
True,36.0,0.7301992008679874,0.7151162817903968,23.581395288271317,1.797501021482003,-16.829815549886934,ComposeReview_user-review-service,0.4,800.0
True,72.0,0.8553559336635477,0.18224607856169722,33.22497931728295,2.0943308454788725,-103.74535229918878,ComposeReview_user-review-service,1.6,3200.0
True,48.0,0.8319674440390881,0.42357651245425765,28.972241992943598,1.4884728773595568,-21.763384434012046,ComposeReview_movie-review-service,0.4,2400.0
True,36.0,0.5600215973494483,0.07033898060030098,33.57288141427856,1.4395848915491667,-17.959841685405376,ComposeReview_user-review-service,1.6,2400.0
True,68.0,0.766658297581136,0.290397045243143,31.55124653746275,3.0523905360120698,-156.86134645437957,ComposeReview_movie-review-service,0.4,3200.0
True,68.0,0.8081733705330352,0.5411180703614707,23.915085287896485,1.729296542305636,-58.04427694350895,ComposeReview_movie-review-service,0.8,800.0
True,76.0,0.7221472512833793,0.6284555129552963,22.625740349068803,7.211084905673823,-486.73490566143454,ComposeReview_user-review-service,1.6,1600.0
True,60.0,0.7171428096186692,0.414144736840828,32.50657894743712,0.6287916844797379,21.838734501969313,ComposeReview_movie-review-service,0.8,1600.0
True,76.0,0.8107505957755871,0.5525172623690102,24.841728918023623,5.779177927938334,-395.2722522531153,ComposeReview_movie-review-service,0.8,2400.0
True,52.0,0.7588587282485166,0.01334519572738535,38.13523131680699,1.2006944444448728,-27.94166666672929,ComposeReview_user-review-service,0.8,1600.0
True,64.0,0.8030615507333222,0.1658234126965895,41.002857142944386,1.7339228723420166,-62.273776595881984,ComposeReview_movie-review-service,1.6,2400.0
True,52.0,0.8673191539180354,185.64595545268938,1328.226488709131,1238.2313688125807,-54461.01825039801,ComposeReview_rating-service,1.6,3200.0
True,76.0,0.7867571634208181,32.96155246737056,942.8542360305906,12.799734772866456,2259.4732900698295,ComposeReview_nginx,1.6,2400.0
True,44.0,0.35562773449919055,950.7215475784102,-15692.837808320943,667.2520054229989,-2563.3847321928383,ComposeReview_rating-service,1.6,2400.0
True,36.0,0.7220892297109542,23.38750192336525,4720.7832751920705,1176.0343935215628,-27589.68435198675,ComposeReview_rating-service,1.6,1600.0
True,32.0,0.8199063810846738,2.887500000004156,457.25000000099436,1959.4335057696387,-62224.39083383551,ComposeReview_rating-service,0.4,800.0
True,36.0,0.8834640761855391,90.24374995367883,3603.216667742988,933.6821490103132,-27657.43716750505,ComposeReview_rating-service,1.6,800.0
True,48.0,0.6513253530014005,72.5128424759091,3004.8595905170046,1140.9329792878282,-40745.22246335985,ComposeReview_rating-service,1.2000000000000002,3200.0
True,60.0,0.29924752568383917,789.8117081243818,-14769.84451278871,2265.5007195503345,-104360.25661852343,ComposeReview_rating-service,1.2000000000000002,2400.0
True,44.0,0.7763182372534942,45.29925888801825,2978.951253162938,1411.5969882127542,-55002.6408076135,ComposeReview_rating-service,1.2000000000000002,1600.0
True,40.0,0.7957549279863044,115.81991470127019,1379.3373105759606,1331.5680685882555,-48230.771115038006,ComposeReview_rating-service,1.2000000000000002,800.0
True,56.0,0.3482132889216197,315.700526374302,-6592.213730059602,2498.561988986904,-129001.39100098083,ComposeReview_rating-service,0.8,3200.0
True,32.0,0.6827830348096291,50.15624999999999,516.2500000000001,1496.125844127288,-47340.94209063555,ComposeReview_rating-service,0.8,2400.0
True,32.0,0.752999152019397,36.299999999999955,177.20000000000076,1957.2641957018673,-62865.501479300496,ComposeReview_rating-service,0.4,1600.0
True,36.0,0.8085738962173253,6.821875027217966,925.8916659650479,2039.6236244941806,-69746.81802745447,ComposeReview_rating-service,0.4,2400.0
True,44.0,0.845349699439712,27.25805084751489,777.0576271203367,2128.2949571230624,-89181.69901682789,ComposeReview_rating-service,0.8,800.0
True,68.0,0.7539832972087278,22.232768987388123,2278.6197468404066,1.790079787235792,3155.384122347301,ComposeReview_nginx,1.2000000000000002,800.0
True,68.0,0.8601316691713843,31.033703271093497,87.00128504691784,29.471607650617802,-15.121426725287265,ComposeReview_nginx,0.8,3200.0
True,48.0,0.8011083626170927,83.52550675693675,-252.23783783839392,1247.6596836835047,-56641.88873860788,ComposeReview_user-service,0.8,800.0
True,44.0,0.6502015449110445,99.46428571450063,-1096.571428573827,14.555207400818052,3236.092416670852,ComposeReview_nginx,1.6,800.0
True,40.0,0.7690588651413501,31.433928571494967,-50.20714285725525,1164.344999814403,-47337.82192278191,ComposeReview_user-service,0.4,1600.0
True,64.0,0.11135110903605783,608.7678769734251,-17467.583025317435,1431.7500111475551,-73212.65642478144,ComposeReview_user-service,0.4,800.0
True,40.0,-0.1045849706313726,-20321.9125,732378.7999999999,-115.15065171326836,14521.727590923078,ComposeReview_nginx,0.4,800.0
True,48.0,0.5768193499150263,179.41250000000005,-1410.1125000000068,758.7969207539034,-29295.01622754105,ComposeReview_user-service,1.6,1600.0
True,52.0,0.5646556090098447,128.13625044919152,-2128.9000179676746,1279.7091102226534,-60840.44572420922,ComposeReview_unique-id-service,0.4,800.0
True,48.0,0.884949094172989,52.84464285725591,2653.7000000057856,992.6364902349541,-41378.29220124927,ComposeReview_user-service,1.6,800.0
True,52.0,0.8001639215074098,819.2625081116998,-25082.43788699597,1006.4096117445464,-40169.6602747974,ComposeReview_user-service,1.2000000000000002,3200.0
True,44.0,0.7870532559606809,65.16250000000016,1554.1499999999942,994.814135015337,-39782.93702488878,ComposeReview_user-service,1.2000000000000002,2400.0
True,48.0,0.702737838483582,101.40000000021813,1261.6500000027754,1033.288385980053,-43077.777768819455,ComposeReview_user-service,1.6,2400.0
True,72.0,0.7891257675244652,0.8745273109240956,75.90630252117181,0.22569758064347,115.43680645186274,ComposeReview_review-storage-service,0.4,800.0
True,68.0,0.40651419429031854,781.4214833777341,-26399.249602720745,1174.316306330009,-55735.352806108844,ComposeReview_user-service,1.2000000000000002,1600.0
True,72.0,0.8958518760737899,0.16722689075448538,88.68697479010726,1.246886936593353,11.530061115378595,ComposeReview_review-storage-service,1.2000000000000002,1600.0
True,52.0,0.8371355380394518,76.38000000016426,2130.150000004649,998.1404109718359,-45257.12030728792,ComposeReview_user-service,1.6,3200.0
True,52.0,0.6415553171634069,2192.866256838812,-73695.70038537832,1042.0036575754682,-15232.523581390942,ComposeReview_user-service,0.4,2400.0
True,48.0,0.776341303594638,247.34106972513658,-4252.849936405107,1025.0635669855965,-41715.06218732841,ComposeReview_user-service,1.2000000000000002,800.0
True,44.0,0.8878318398897864,100.31874999999994,-1806.6749999999986,1139.5764447361514,-47968.184713753515,ComposeReview_user-service,0.8,3200.0
True,40.0,0.8929695026341795,120.99999999999996,-2771.9999999999986,1216.1808075741874,-47166.31902056271,ComposeReview_user-service,0.4,3200.0
True,40.0,0.9001040641612356,18.64375000000044,1150.5749999999834,1172.6187234008353,-44289.80143025689,ComposeReview_user-service,0.8,2400.0
True,44.0,0.8977932633950646,1.862499999999133,1695.7500000000277,1209.0659508027236,-51355.63887738356,ComposeReview_user-service,0.8,1600.0
True,60.0,0.7998639488270416,100.87478819845403,-2457.2025453273427,1808.9079838081593,-107262.05033774872,ComposeReview_unique-id-service,0.8,1600.0
True,48.0,0.34063890299055577,144.09062499999993,-4370.087499999998,953.238058098603,-38819.18434758634,ComposeReview_unique-id-service,0.4,3200.0
True,68.0,0.6831388298094885,90.03675786455763,-3000.503570380625,9.917595443369303,1631.3729679838405,ComposeReview_nginx,0.8,1600.0
True,52.0,0.49408336472843084,36.03750000007738,2680.3000000058005,1629.3570154402498,-81966.06066725357,ComposeReview_unique-id-service,0.8,800.0
True,48.0,0.9155283681197453,13.050000000000132,1115.7999999999943,1225.8691379870909,-50956.36112834632,ComposeReview_unique-id-service,0.8,2400.0
True,64.0,0.7386510253348789,162.2951293193059,-3611.20857978355,1903.056594825459,-113247.27724121128,ComposeReview_unique-id-service,0.8,3200.0
True,60.0,0.8758936476651887,65.56081081095164,712.7547297312791,1951.5861178599062,-113991.64958448379,ComposeReview_unique-id-service,1.2000000000000002,800.0
True,56.0,0.8535996939286754,170.50928476826172,-3847.2428145717786,1147.528298307692,-57589.92914482053,ComposeReview_unique-id-service,1.2000000000000002,1600.0
